0;0;0;0;land;false;unknown;0
1;143;174;189;land;true;plains;1
2;246;222;206;land;false;forest;1
3;216;224;158;land;true;jungle;1
4;112;229;221;land;false;plains;1
5;241;204;216;land;false;desert;1
6;250;119;232;land;true;plains;1
7;237;166;123;land;false;jungle;1
8;182;127;241;land;false;plains;1
9;135;169;220;land;false;hills;1
10;65;238;254;land;false;desert;1
11;252;204;155;land;false;hills;1
12;150;136;218;land;false;desert;1
13;162;176;210;land;true;mountain;1
14;132;163;245;land;false;forest;1
15;190;164;175;land;false;mountain;1
16;173;240;125;land;true;plains;1
17;243;190;121;land;false;plains;1
18;252;200;161;land;true;desert;1
19;188;219;248;land;false;forest;1
20;173;150;196;land;true;plains;1
21;188;233;99;land;false;plains;1
22;169;221;252;land;false;forest;1
23;75;233;203;land;false;forest;1
24;173;192;235;land;false;forest;1
25;228;181;236;land;false;mountain;1
26;224;248;64;land;false;plains;1
27;237;180;243;land;false;forest;1
28;162;227;166;land;false;desert;1
29;252;57;243;land;false;hills;1
30;213;200;220;land;false;forest;1
31;126;241;174;land;true;forest;1
32;190;248;131;land;false;desert;1
33;249;123;205;land;false;mountain;1
34;243;130;169;land;false;plains;1
35;98;254;172;land;false;forest;1
36;234;149;161;land;false;forest;1
37;160;220;149;land;false;forest;1
38;232;140;129;land;true;desert;1
39;214;178;122;land;false;forest;1
40;170;163;188;land;false;forest;1
41;203;243;248;land;false;hills;1
42;235;136;234;land;false;plains;1
43;131;242;224;land;false;forest;1
44;209;243;115;land;false;hills;1
45;68;214;233;land;false;plains;1
46;254;117;158;land;false;plains;1
47;234;98;232;land;false;desert;1
48;80;232;219;land;true;jungle;1
49;230;200;207;land;false;forest;1
50;103;253;185;land;true;plains;1
51;147;211;248;land;false;plains;1
52;189;115;249;land;false;plains;1
53;226;209;218;land;false;jungle;1
54;175;149;237;land;false;mountain;1
55;134;228;142;land;false;mountain;1
56;226;151;133;land;false;plains;1
57;160;206;136;land;false;desert;1
58;150;150;231;land;false;forest;1
59;239;181;138;land;false;desert;1
60;230;114;169;land;true;plains;1
61;168;245;162;land;false;hills;1
62;179;217;247;land;false;plains;1
63;251;210;131;land;false;forest;1
64;248;214;176;land;false;plains;1
65;250;192;159;land;false;plains;1
66;159;156;235;land;false;desert;1
67;156;242;123;land;false;plains;1
68;214;163;125;land;true;forest;1
69;204;129;219;land;false;plains;1
70;193;176;203;land;false;mountain;1
71;234;242;250;land;false;plains;1
72;249;8;246;land;false;desert;1
73;251;155;205;land;false;plains;1
74;219;114;251;land;true;mountain;1
75;128;249;234;land;false;forest;1
76;55;222;248;land;false;plains;1
77;196;125;194;land;false;forest;1
78;159;181;209;land;true;plains;1
79;246;199;119;land;false;forest;1
80;218;53;251;land;false;jungle;1
81;43;251;240;land;false;forest;1
82;164;233;250;land;false;plains;1
83;164;233;152;land;false;plains;1
84;180;184;140;land;false;forest;1
85;82;243;221;land;false;mountain;1
86;106;222;188;land;false;forest;1
87;201;249;91;land;true;hills;1
88;109;177;254;land;false;forest;1
89;186;147;235;land;true;plains;1
90;227;150;143;land;false;mountain;1
91;216;157;247;land;true;plains;1
92;166;124;254;land;false;plains;1
93;215;170;244;land;false;forest;1
94;237;196;241;land;false;forest;1
95;248;241;60;land;false;forest;1
96;243;204;225;land;false;hills;1
97;252;182;71;land;true;forest;1
98;250;212;57;land;false;plains;1
99;190;183;214;land;false;forest;1
100;220;207;177;land;false;desert;1
101;98;253;153;land;false;plains;1
102;100;208;219;land;false;forest;1
103;206;242;233;land;false;forest;1
104;195;133;224;land;false;desert;1
105;244;249;244;land;false;plains;1
106;202;138;197;land;true;plains;1
107;137;238;126;land;false;mountain;1
108;86;194;249;land;false;plains;1
109;102;211;240;land;true;forest;1
110;193;179;134;land;true;forest;1
111;196;195;154;land;true;plains;1
112;57;213;251;land;false;hills;1
