1;arms_factory;190.00;10.45;1927.00;2.03;0
1;arms_factory;312.00;11.70;2040.00;5.05;0
1;arms_factory;279.00;10.78;1906.00;6.25;0
1;arms_factory;121.00;12.28;2020.00;4.09;0
1;arms_factory;113.00;12.90;1954.00;0.47;0
1;arms_factory;109.00;12.20;1982.00;2.04;0
1;industrial_complex;66.00;11.95;1994.00;4.70;0
1;industrial_complex;250.00;14.88;1942.00;2.54;0
1;industrial_complex;209.00;11.80;2025.00;3.74;0
1;industrial_complex;266.00;12.62;1954.00;0.48;0
1;industrial_complex;208.00;14.65;1964.00;3.14;0
1;industrial_complex;185.00;12.55;2014.00;5.81;0
1;air_base;173.00;13.40;1952.00;2.54;0
1;naval_base;252.00;9.73;1879.00;0.29;13255
1;naval_base;61.00;9.50;1978.00;-1.91;13751
1;naval_base;214.00;9.50;1868.00;-0.19;12183
1;naval_base;137.00;9.85;1916.00;0.66;12823
1;naval_base;180.00;9.50;1919.00;0.28;11857
1;naval_base;19.00;9.50;2021.00;-1.25;13589
1;naval_base;49.00;9.50;1993.00;-0.89;13751
1;naval_base;274.00;9.88;1883.00;0.46;13043
1;naval_base;157.00;9.50;1923.00;0.00;12823
1;naval_base;91.00;9.50;1939.00;-1.05;13755
1;naval_base;15.00;9.50;2043.00;-1.78;13589
1;bunker;183.00;14.38;1969.00;2.71;0
1;bunker;302.00;12.20;1947.00;0.55;0
1;bunker;144.00;11.82;1978.00;3.21;0
1;bunker;216.00;12.90;1883.00;4.77;0
1;bunker;292.00;12.30;1945.00;1.16;0
1;bunker;200.00;13.75;1960.00;5.28;0
1;bunker;279.00;11.75;2022.00;0.20;0
1;bunker;189.00;11.78;2038.00;3.22;0
1;bunker;246.00;12.05;1980.00;5.88;0
1;bunker;100.00;12.55;1972.00;2.26;0
1;bunker;171.00;12.75;1931.00;0.11;0
1;bunker;282.00;12.62;1914.00;1.67;0
1;bunker;134.00;11.60;2019.00;5.79;0
1;bunker;242.00;13.23;1920.00;0.71;0
1;bunker;275.00;11.93;2027.00;4.83;0
1;bunker;111.00;14.15;1940.00;0.11;0
1;bunker;253.00;13.48;2003.00;2.78;0
1;bunker;53.00;12.78;2019.00;5.44;0
1;bunker;269.00;12.00;1976.00;2.17;0
1;bunker;120.00;14.55;1930.00;3.38;0
1;bunker;87.00;11.88;2015.00;1.22;0
1;bunker;225.00;11.90;2017.00;5.34;0
1;bunker;132.00;14.05;1932.00;5.45;0
1;bunker;27.00;10.30;2043.00;3.29;0
1;bunker;331.00;11.38;2029.00;5.95;0
1;bunker;148.00;11.45;1997.00;2.33;0
1;bunker;240.00;15.82;1903.00;3.89;0
1;bunker;77.00;12.57;2030.00;1.73;0
1;bunker;180.00;13.73;1993.00;4.40;0
1;bunker;92.00;10.20;1934.00;0.78;0
1;bunker;36.00;10.00;2024.00;2.34;0
1;bunker;89.00;12.25;1972.00;0.18;0
1;bunker;148.00;12.00;2042.00;2.84;0
1;coastal_bunker;42.00;9.50;1999.00;-0.89;0
1;coastal_bunker;164.00;9.50;1918.00;-1.21;0
1;coastal_bunker;86.00;9.50;1944.00;-1.05;0
1;coastal_bunker;34.00;9.50;2021.00;0.86;0
1;coastal_bunker;64.00;9.50;1968.00;-0.85;0
1;coastal_bunker;137.00;9.80;1915.00;0.66;0
1;coastal_bunker;142.00;9.50;1923.00;0.00;0
1;coastal_bunker;192.00;9.90;1887.00;-1.85;0
1;coastal_bunker;236.00;10.12;1878.00;0.29;0
1;coastal_bunker;15.00;9.50;2045.00;-1.78;0
1;coastal_bunker;277.00;9.90;1886.00;0.46;0
1;dockyard;19.00;9.50;2020.00;-1.25;0
1;anti_air_building;323.00;11.20;2027.00;6.03;0
1;anti_air_building;273.00;9.85;1882.00;2.41;0
1;anti_air_building;56.00;11.00;2006.00;0.25;0
1;synthetic_refinery;121.00;13.45;1938.00;1.45;0
1;fuel_silo;277.00;12.43;1961.00;4.47;0
1;radar_station;176.00;13.57;1956.00;2.04;0
1;rocket_site;258.00;14.25;1932.00;3.52;0
1;nuclear_reactor;170.00;11.20;2042.00;5.08;0
2;arms_factory;2436.00;14.03;1550.00;6.25;0
2;arms_factory;2431.00;13.82;1573.00;4.09;0
2;arms_factory;2439.00;14.53;1556.00;0.47;0
2;arms_factory;2412.00;12.38;1580.00;2.04;0
2;arms_factory;2437.00;13.40;1571.00;4.70;0
2;arms_factory;2428.00;13.30;1576.00;2.54;0
2;industrial_complex;2436.00;13.90;1552.00;3.74;0
2;industrial_complex;2409.00;12.35;1579.00;0.48;0
2;industrial_complex;2437.00;13.90;1558.00;3.14;0
2;industrial_complex;2416.00;12.60;1582.00;5.81;0
2;industrial_complex;2433.00;13.38;1550.00;2.54;0
2;industrial_complex;2419.00;13.43;1578.00;5.21;0
2;air_base;2437.00;14.20;1556.00;1.59;0
2;bunker;2410.00;12.35;1580.00;4.25;0
2;bunker;2445.00;12.53;1564.00;0.99;0
2;bunker;2430.00;13.18;1568.00;3.66;0
2;bunker;2429.00;12.73;1547.00;0.04;0
2;bunker;2402.00;12.25;1578.00;2.70;0
